"","mz","rt","","","","","","","",""
"M829.66T444","829.66","444","8622","8028.8","5705.8","4513.5","2716.6","1909.3","2689.5","2450.7"
"M828.66T444","828.66","444","15635.8","15256.4","15436.2","15178.7","7997.7","7683.6","7120.8","6936.6"
"M832.64T421.8","832.64","421.8","11341.1","5172.6","11135.8","12284.6","10139.8","11538.5","3254.2","9597.8"
"M833.64T463.8","833.64","463.8","23052.6","11494.3","13022.7","9833.6","9300.2","17375","8528.2","16035.7"
"M844.58T302.4","844.58","302.4","2925","3035.9","2954.8","2975.4","4668.5","4994.7","2751.6","4406.1"
"M843.58T303","843.58","303","5594","6112.6","5571.1","5533.6","8383.3","9433.9","8227.4","8528.7"
"M848.45T288.6","848.45","288.6","7893.6","3135.7","5067.6","3073.6","8530.4","5783","4778.6","4967.3"
"M847.44T288.6","847.44","288.6","13313.4","6008.1","9576.4","5449.6","18037.4","10272.8","13854.8","8617.8"
"M849.64T429.6","849.64","429.6","6245","5708.7","5916.1","2794","11271.1","11390.9","3646.9","10160.2"
"M850.66T471","850.66","471","6734.1","6927.2","6747.9","3333.5","7588.1","8472","3479.8","6592.9"
"M855.61T342.6","855.61","342.6","1078.5","809.8","1195.2","992.4","1655.1","1411.8","1646.2","1537.7"
"M857.69T483","857.69","483","7181.9","13863.9","11947.4","10840.2","5586.7","9687","4887.3","4701.1"
"M856.69T483","856.69","483","26855.5","24662.5","22037.4","18455","17105.2","17244.8","13539.6","13358.3"
"M870.68T392.4","870.68","392.4","1692.5","3607.1","3791.3","3683.7","9287.6","5923.3","9581.1","5542.3"
"M869.67T393.6","869.67","393.6","6293.4","5929.2","6669.5","6595.6","16832.5","17351.8","17036.2","16441.9"
"M887.57T309","887.57","309","480258","597896.6","401542","500111","484414.1","398011.3","330621.8","348751.7"
"M899.57T306","899.57","306","33333.6","12583.6","22378.6","12758","39275.9","25068.7","29354.6","24778.5"
"M973.74T466.2","973.74","466.2","17496.4","8958.4","8982.4","9854.1","8266.6","8383.7","10094.4","18342.9"
"M1196.81T455.4","1196.81","455.4","7349","7437.6","4503.2","6867.2","4785.2","4688","4717.7","4417.7"
"M847.66T429.6","847.66","429.6","9188.5","8873.8","8961.2","8895.7","17839.5","17204.3","17443.2","16828.3"
"M847.66T430.8","847.66","430.8","7616.5","4110.9","4701.5","4307.2","13149.4","10491.2","11091.2","11541.7"
"M707.59T447.6","707.59","447.6","5630.1","6937.7","7411.9","8550.9","10701.7","13799.3","13506.2","13794.5"
"M599.52T355.8","599.52","355.8","7724.7","8990.7","8975.1","9308.4","12493.8","13346.6","12339.9","10782.7"
"M1009.72T464.4","1009.72","464.4","18247.6","17160.2","15893.6","18397","12421.5","14388","15856.7","16979.9"
"M801.57T301.8","801.57","301.8","5081.2","4538.6","6316.3","2867.3","13390.4","1857.3","2241.9","2778.1"
"M683.59T484.8","683.59","484.8","55883","68231.2","57655.5","93555.2","88304.7","142342.5","146952","152137.7"
"M429.08T36.6","429.08","36.6","7344.6","7355.9","4277.3","4938.7","9722.6","8730.9","6728","6322.2"
"M395.06T38.4","395.06","38.4","97.6","127.4","8789.7","10827.7","124.3","157.7","15269.4","14634.5"
"M555.05T38.4","555.05","38.4","85.3",NA,"16415.6","10081","133.2","101.3","20142.3","12823.7"
"M509.06T38.4","509.06","38.4","58.9","98.9","3794","3452.3","144.6","143.2","5620.2","6645"
"M458.06T38.4","458.06","38.4","86.2","116","6885.3","10611.6","182.6","147.5","14377.7","27422.4"
"M61.99T45","61.99","45","541.9","1049.3","8424.5","11672.7","1164.3","1541.9","13452.5","25023.8"
"M308.03T45","308.03","45","119.6","137.8","41437.3","41309.2","161.1","156.2","50921.1","49125.4"
"M412.08T45","412.08","45","80.1","104.6","10161","10315.9",NA,"185.1","12263.5","11559.1"
"M455.09T45","455.09","45","71.3",NA,"53491.7","47149.2",NA,"175","62097.1","55761.2"
"M472.07T45","472.07","45","164.5","148.3","46255.9","63273.8","200.4","232.9","77630.3","144103"
"M523.07T45","523.07","45","129.3","93.1","17722.3","15666.4","106.5","154.8","23734.4","24124.8"
"M569.06T45","569.06","45","75.7","87.4","35357.1","21231.2","137","196.7","36847.8","23160.9"
"M421.23T49.8","421.23","49.8","2195.7","4982.5","5453.1","8600.9","3902.5","17589","4412.1","6796.6"
"M319.23T49.8","319.23","49.8","3616.5","3431.3","6286.8","5549.6","1917.6","2260.8","2226.4","2826.7"
"M293.18T49.8","293.18","49.8","2969.9","4695.4","4862.9","9364.6","9118.9","13186","6590.8","10375.4"
"M500.28T72.6","500.28","72.6","2605.7","3290.6","6590.2","7243.2","2135.8","1838.5","5326.6","6503.9"
"M528.27T82.8","528.27","82.8","3208.3","6591.7","4777.1","3339.8","7274.8","3131.6","2740.9","2817.4"
"M599.32T92.4","599.32","92.4","2801","1880.1","3025.8","2441.2","2589.8","1570.9","1598.4","2024.9"
"M506.29T114","506.29","114","635.1","967.6","416.8","596.7","1505.4","762.3","569.4","695.4"
"M462.3T121.8","462.3","121.8","942.2","850.7","975.7","1269.3","1803.5","1528.9","1134.1","1102.7"
"M679.03T130.2","679.03","130.2","65.1",NA,"5537.9","7200.3","134.4","173.6","6506","8402.6"
"M329.25T132","329.25","132","29573.8","24500.9","34380.4","32606.5","35487.5","30939.9","31860.3","36429"
"M279.23T135","279.23","135","3966.6","4280.1","4739.3","3836.4","3492.8","4810.9","3569.3","3569.5"
"M480.31T148.8","480.31","148.8","5700.5","5353.2","6729.5","6258","6318.5","5730.9","5911.5","6365"
"M506.33T157.8","506.33","157.8",NA,"217.7",NA,NA,"303.1","270.5",NA,NA
"M331.26T165","331.26","165","35031.5","29661.1","45249.8","42603.5","55391.8","45433.5","50411.3","58325.3"
"M363.25T166.8","363.25","166.8","6632.9","6683.9","7155.5","6613.5","5566.4","3770.9","4612.7","4836.5"
"M377.25T166.8","377.25","166.8","3262.8","3492.1","3427.9","3427.3","4017.9","3292.2",NA,"2875.3"
"M613.52T167.4","613.52","167.4","1777","1726.1","2251.1","1835.6","1740.1","1712.6","1507.7","1622.2"
"M379.23T167.4","379.23","167.4","1960","2587.2","2713.2","2064.3","2504.8","2437.3","1837.2","1829.3"
"M415.31T173.4","415.31","173.4","18958.4","17212.5","17340.5","14169.3","15551.6","13753","11195.1","12350.5"
"M465.3T178.2","465.3","178.2","11730.8","11396.4","12665.8","13106.4","18544.7","16670.5","18388.7","19000.1"
"M357.28T178.2","357.28","178.2","2859","2697.5","3653.8","3455.9","7803.7","7449.3","7406.1","8075.1"
"M295.26T189","295.26","189","8614","7601.1","10055.9","8407.1","8804.3","7975.8","7089.7","7321.9"
"M577.34T192","577.34","192","881.5","972.4","2133.1","2460.9","815.5","799.9","1027.8","1478.7"
"M333.28T193.2","333.28","193.2","2613.6","2037.9","3646.5","2403.7","3284.8","2859.7","2767.1","3596.2"
"M321.28T196.8","321.28","196.8","1916.9","1675.7","2114.7","1860.6","1632.3","2033.7","1530.4","1337.6"
"M359.29T200.4","359.29","200.4","13705.7","12536.1","17039.9","16695.4","46516.4","42756.1","42062.2","44298.2"
"M641.55T204","641.55","204","738.1","750.9","884.4","962","962.6","896.8","728.2","907.1"
"M406.31T204","406.31","204","904.3","1062.7","951.7","1185.3","938.5","792.7","870.3","637.5"
"M335.3T213","335.3","213","1544.8","1291.7","2100.8","1977.6","2626.6","1721.3","2369.6","2146.4"
"M867.52T220.2","867.52","220.2","13696.1","11892.6","17233.6","16179.1","22112.3","17933.3","26145.8","26271.1"
"M583.38T228.6","583.38","228.6","11509.1","13997.9","7592.7","9848.8","9541.2","11046.7","6914.3","6973.6"
"M869.53T235.2","869.53","235.2","5551.8","4678.3","6783.9","6983.3","11504.5","9666.7","13226.9","13804.9"
"M337.31T239.4","337.31","239.4","5748","5965.3","5992.6","5506.8","7146.7","6410.7","6620.6","5895.2"
"M1151.7T241.2","1151.7","241.2","6340","5707.7","4663.7","4677.9","11707.4","10622.9","8672.7","8337.8"
"M845.53T244.2","845.53","244.2","3651.6","3200.3","4376.9","3981.1","4265.2","2016.4","4459.9","4627.1"
"M363.33T246.6","363.33","246.6","2135.9","2635.7","2240.1","1993.7","4550.6","3963.3","4379.9","4337.8"
"M881.52T246.6","881.52","246.6","10425.3","10825.2","13564","12808.9","9337","10854.3","12356.6","12497.4"
"M857.52T253.8","857.52","253.8","98982.2","104124.7","120265.1","118856","78848.5","83017.1","90075.3","87151.2"
"M491.36T256.2","491.36","256.2","8519.9","8355.8","9180.7","8065","11604.7","11524","11146.1","9825.8"
"M965.53T256.8","965.53","256.8","4900.8","5081.3","5182.9","4968.2","6181.6","6192.3","5554.6","5521.5"
"M833.52T258","833.52","258","9872","10745.3","12544.1","12908.1","10978.2","11995.6","14093.5","13861.6"
"M248.97T261","248.97","261","93683.8","131356.3","14500.1","120860.4","142881","199012.2","142155.5","160849.2"
"M867.54T261","867.54","261","648.3","772.8","938.8","833.4","761","779.6","808.2","1078.4"
"M847.55T264.6","847.55","264.6","922.8","1318.3","1860.1","2285.8","1571.4","2788.8","1756","2322.2"
"M883.53T264.6","883.53","264.6","16581.5","12813.6","16389.7","14515","17183.8","21289.1","19855.8","17335.1"
"M871.53T270","871.53","270","18726.2","17853.1","19493.9","18786.4","20598","20377.8","20773.8","20342.3"
"M799.55T276.6","799.55","276.6","2804.5","2512.2","2507.5","5483.5","2939.9","2016.4","1354.9","1578.2"
"M859.53T276.6","859.53","276.6","5733.9","5768.5","2419","5405.8","2277.8","2652.8","1575.8","1840.9"
"M823.55T276.6","823.55","276.6","1284.4","1294.6","1160.2","1380","1261.9","1215","1198.5","1299.4"
"M809.52T277.8","809.52","277.8","528.7","826","723.9","795.9","606.2","749.3","1851.5","841.2"
"M339.33T278.4","339.33","278.4","9689.9","9216.9","7550.2","11405.7","9498.1","10602.6","8528.2","56546.9"
"M365.34T279.6","365.34","279.6","14878.4","14785.9","16991","16271.1","23539.1","22900.5","19107.3","19834.4"
"M542.43T280.8","542.43","280.8","1494.6","1548.4","1136.2","1786.5","1509.2","1604.1","1430.1","1514.6"
"M463.33T281.4","463.33","281.4","11273.4","12684.3","12212.1","12442.7","17580.8","19729.8","16865.5","16312.3"
"M505.37T281.4","505.37","281.4","22055.9","25416.2","23006.7","23186.5","33098.1","38513.6","31404.3","30173.9"
"M835.53T283.2","835.53","283.2","43522.3","47238.6","47014","51697.5","42418.6","45273","51529.9","53919.2"
"M732.52T283.2","732.52","283.2","5902.8","3920.8","5733.5","4439.4","7012.3","7068.9","5588","4967.3"
"M967.55T285","967.55","285","8259.5","8533.5","8441.1","7883.7","11008.6","11414.1","10530.2","10079.2"
"M985.47T285.6","985.47","285.6","17085.6","9082","15732.2","8619.7","13803.9","7770.4","11889.9","8129.5"
"M885.55T285.6","885.55","285.6","1590874.1","1649230.8","1694790.8","1607927.2","2123359.2","2100148.7","2094812.4","1981344.1"
"M849.56T285.6","849.56","285.6","600.8","505.7","480.5","1195.1","1376.1","718.9","823.7","533.4"
"M825.56T288","825.56","288","903.5","871.6","616","1135.3","761","1628.7","693.6","1434.8"
"M829.52T289.8","829.52","289.8","5530.7","5331.3","4906.2","4973.5","11301.6","12025.9","9687.4","8725.4"
"M873.55T293.4","873.55","293.4","5906.3","6224.8","5685.5","5102.1","3730","3765.2","2139.2","2370.8"
"M876.6T294","876.6","294",NA,NA,NA,NA,NA,NA,NA,"710.4"
"M1022.66T294.6","1022.66","294.6","7251.4","7995.6","7360.3","7136.9","4664.7","5346.1","4314.3","4307.7"
"M851.58T294.6","851.58","294.6","829.6","1031.3","1001.5","1039.7","1182","1027","1072","1059.9"
"M764.54T295.2","764.54","295.2",NA,NA,"1684",NA,"1043.8","1270",NA,NA
"M491.36T297","491.36","297","8951.8","9109.5","9871.5","8347.2","14677.7","16265.5","13442.9","11938.6"
"M119.04T297","119.04","297","3166.9","28290.5","22626.7","2254.5","32645.3","46674.6","32021.5","36733.3"
"M505.37T297","505.37","297","24658.9","3772.5","27022","25333.8","39794.6","7410.3","35753.2","3070.8"
"M248.97T297","248.97","297","56883.3","85774.4","63844.5","78143.4","101403.4","149830.8","102918.9","21685.7"
"M837.55T299.4","837.55","299.4","12818.1","6877.8","20485.3","7821.1","10142.4","9399.1","9488","10220.3"
"M911.56T300.6","911.56","300.6","8725.8","6349.3","7385.2","5669.3","7992.7","6520.7","7249.7","5756.4"
"M821.55T301.2","821.55","301.2","1073.2","1212.8","1124.2","799.4","1684.3","1497.1","1525.6","1558.6"
"M861.55T302.4","861.55","302.4","17164.7","10181.7","3843.8","7786.3","13537.5","8924.7","8652.4","8130.7"
"M860.61T304.2","860.61","304.2","6253.8","5873.1","2000.3","5114.6","6110.5","7450.8","6023.7","6592.9"
"M248.97T306","248.97","306","59534.7","86352.3","68459.3","78516.8","96472.4","132380.7","96737.6","104774.4"
"M896.59T306","896.59","306","12602.6","14939.9","9231.4","12152.4","13727.8","16848.4","12627.6","13262.3"
"M391.29T306.6","391.29","306.6","44481.2","37504.6","41808","34351","61964","61288.3","55759.4","48947.3"
"M659.51T306.6","659.51","306.6","30104.3","23492.4","30414.9","26981.8","38859.9","34554.7","38620.6","35849.3"
"M670.48T306.6","670.48","306.6","6274.9","4474.9","4743","4154.4","5873.4","5080","4679.5","4610.9"
"M772.57T307.2","772.57","307.2","7953.4","6546","6876.1","5007.5","7914","6866.4","8704.9","8252.2"
"M770.51T307.2","770.51","307.2","28256.9","19129.6","21698","20001.2","38837","30074.9","33843.1","31974.3"
"M806.53T307.8","806.53","307.8","10039.2","6990.9","9640","8203.4","10657.3","9144.6","11239.3","10904.2"
"M851.58T307.8","851.58","307.8","8716.1","4402.7","5525","3915","5260.8","3872.2","3972.8","3525.6"
"M369.24T307.8","369.24","307.8","27531.1","34247.2","36942.4","31357.8","51806.4","61025","45583.8","38832.2"
"M702.53T307.8","702.53","307.8","6822.1","5789.5","6102.3","5538","5264.6","5299.9","5338.5","5108.4"
"M139.01T307.8","139.01","307.8","13536.8","14288.8","13458.9","12599.9","18429.3","22081.8","17143.6","16979.9"
"M686.48T307.8","686.48","307.8","15130","10952.5","12079.3","11569.1","17582.1","16375.5","16528.8","16394.4"
"M916.59T307.8","916.59","307.8","25648.6","31297.9","22924.6","28477.1","28378.9","40148.1","35672","35709.3"
"M732.5T308.4","732.5","308.4","105902","73653.7","82414.4","71872","101588.6","88850.7","93268.6","90130.6"
"M465.33T308.4","465.33","308.4","4353.6","4957.8","4142.6","4258.9","5378.7","3689.9","5158.2","4807.6"
"M116.93T308.4","116.93","308.4","9675.8","7123","8958.5","6922.5","12946.5","11405.4","9603.8","7629.7"
"M887.82T309","887.82","309",NA,NA,NA,NA,NA,NA,"2419.8",NA
"M969.57T309","969.57","309","571.8",NA,"462","480.6","839.6",NA,"619.6","519.5"
"M796.53T309","796.53","309","6125.4","4591.8","5159.8","4899.4","9311.7","7941.1","8556.9","8573.8"
"M987.49T309.6","987.49","309.6","189.1","234.8","235.2","167","284.1","257.5","195.8","222.2"
"M248.97T312","248.97","312","62991.9","88282.8","69673.9","82938.3","103923.5","141282.2","103772.5","111594.2"
"M554.48T315","554.48","315","1309","1724.2","2201.3","1753.4","2914.5","2729.5","2240.7","2516.6"
"M872.56T316.2","872.56","316.2","3151.1","5294.2","2398.7","2498.4","3751.5","6731.9","2835.2","5271.6"
"M863.57T317.4","863.57","317.4","40475.9","40118.4","45795.7","46236.3","51579.4","47117.2","59783.6","63409.4"
"M744.56T317.4","744.56","317.4","16678.3","10873.6","13707","10930.5","13117.7","12749.2","9092.9","7338.1"
"M858.54T318","858.54","318","6996.3","4823.8","4693.2","3203.1","7328.1","6462.8","2179.8","3349.7"
"M875.57T318.6","875.57","318.6","4188.3","2001.7","3064.5","1658.7","1410.3","2499.5","1140","510.3"
"M873.58T318.6","873.58","318.6","1690.8","1729.9","1217.3","1392.5","2211.9","2059.8",NA,"1824.7"
"M708.5T318.6","708.5","318.6","13794.6","10036.3","13331.6","9621.9","14556","11405.4","13482.3","11177.2"
"M763.58T318.6","763.58","318.6","7203","8373.8","6934.2","9103.8","19632.9","20586.1","23467","22759.4"
"M853.59T320.4","853.59","320.4","2743.8","4292.4","2345.2","3323.7","3359.7","2606.5","2711","2048"
"M580.49T321","580.49","321","1477.9","1257.5","1982.8","1472.9","2591.1","2340.4","1999.6","2022.5"
"M898.58T321","898.58","321","4362.4","4681.2","4300.3","4014.2","5495.4","5651.3","5157","5008.9"
"M393.37T324.6","393.37","324.6","5366.2","5835.1","6504.4","6361.6","18682.9","20447.3","16834.4","17664.9"
"M901.58T328.2","901.58","328.2","500.6","1153.9","1469.1","1435.4","1274.6","1362.6","1203.3","502.2"
"M828.55T329.4","828.55","329.4","5353.9","5641.2","5689.2","5235.2","6248.8","6190.9","5450.7","5482.2"
"M736.55T333","736.55","333","6412.1","13659.5","22204.3","23245.4","11174.7","13054.4","17951.8","18943.4"
"M792.57T334.8","792.57","334.8",NA,"1449.5","2059.3",NA,"2756",NA,"2270.5",NA
"M829.6T335.4","829.6","335.4",NA,"825","567.2","693.1","2336.2","620.5","1049.3",NA
"M506.38T335.4","506.38","335.4","12878.8","2289.7","3793.1","12688.3","19296.8","21909.6","18420.9","3849.6"
"M774.56T336","774.56","336","3007.7","2942.7","2358.1","2061.6","3678",NA,"2687.2","3529"
"M119.04T336.6","119.04","336.6","3691.2","26916.1","21788.4","24932.8","31966.8","44392.1","30004","33640.5"
"M865.58T336.6","865.58","336.6","1182.3","760.4","861.4","1028.1","943.6",NA,"551.5","673.4"
"M505.37T337.2","505.37","337.2","33158.6","34466.8","35523.1","31776.7","51716.3","55930.5","47788.7","42627.4"
"M248.97T337.2","248.97","337.2","53057.4","75614.6","58832.2","69090.5","88937.6","127108.3","87697.3","11792.8"
"M849.59T337.2","849.59","337.2","364.2","271.8","404.9","392.1","418.5","433.9","380.8","344.8"
"M588.48T337.2","588.48","337.2","1030.1","1183.4","1894.2","2991.4","1492.8","1395.8","1526.8","1507.7"
"M491.36T337.8","491.36","337.8","9463.8","9473.6","10600.9","8254.3","15790","16874.5","13365.4","11886.5"
"M896.48T340.2","896.48","340.2","4306.1","5318","5201.3","5427.3","6113.1","6961.8","6070.3","5662.7"
"M805.54T340.8","805.54","340.8","5563.2","6120.2","5423.6","5239.7","5465","5775.7","5636.9","5488"
"M776.58T343.8","776.58","343.8","3979.8","4109.9",NA,"3241.5",NA,"3258.9",NA,"3932.9"
"M685.66T344.4","685.66","344.4","5131.3","5957.7","5268.7","5182.5","7240.6","8308.5","6618.2","6712.1"
"M874.58T347.4","874.58","347.4","6004","6742.8","6179.8","5948","8077.6","9151.8","8081.8","8120.3"
"M915.6T348.6","915.6","348.6","521.7","505.7","446.4","563.6","1284.8","554","616","586.6"
"M769.54T349.2","769.54","349.2","6709.5","7392","6807.8","6881.5","8886.8","9684.1","8484.1","8583.1"
"M760.53T349.8","760.53","349.8","101786.7","100368.3","92100.5","91194.4","87399.2","90073","82687.1","82273"
"M786.54T350.4","786.54","350.4","6440.3","5949.1","5594.2","5405.8","9561.5","9410.7","8778.9","8202.4"
"M750.54T350.4","750.54","350.4","36351.9","35056.1","28340.8","35941.8","40196.6","43285.5","41443.8","50107.8"
"M768.54T351","768.54","351","23591","25824","25962.4","25344.5","30987.7","33497.3","30414.7","30751.3"
"M797.55T351.6","797.55","351.6","3222.3","3448.4","1280","1513.1","1948.1","2223.2","1306","3654"
"M710.51T351.6","710.51","351.6","1242.1","1272.7","1261.6","1493.5","1998.8","985","1122.1","678"
"M900.59T352.2","900.59","352.2","7400.9","8283.6","7721.8","7380.8","10676.3","12095.4","9675.4","9789.9"
"M793.56T354","793.56","354","83787.2","88493.8","84476.5","85239.2","140764.3","76108.8","77934.7","34849.6"
"M800.56T357","800.56","357","776.8","1053.1","1447.9","941.5","2205.5","2110.4","2480.6","1636.1"
"M582.51T357.6","582.51","357.6","53854.4","52056.6","61669.9","59920.6","71763.9","67104.5","64119.3","59417.5"
"M576.48T357.6","576.48","357.6","2943.5","3534.9","5866.3","5612.2","5661.6","6264.6","5543.8","4794.9"
"M926.61T358.2","926.61","358.2","4053.7","4301.9","3859.5","3975.8","5537.3","5505.3","4777.4","4562.3"
"M696.49T358.8","696.49","358.8","6686.6","3772.5","7033.8","4163.3","10610.4","7249.7","7911.1","5106.1"
"M778.59T360","778.59","360",NA,NA,NA,NA,NA,"1372.7","1469.5",NA
"M798.53T360.6","798.53","360.6","3795.9","4181.2","3875.2","3793.6","4951.3","5746.8","4655.7","4644.5"
"M281.25T362.4","281.25","362.4","759.2","1031.3","737.8","594","1179.5","1333.6","1307.2","1246.2"
"M600.5T363","600.5","363","1668.8","1342.1","1382.4","1288.9","1447.1","5444.5","1468.3","2130.2"
"M848.54T364.8","848.54","364.8","7850.5","8271.2","8502","7928.3","10364.3","11555.8","10266.3","10838.2"
"M824.54T366","824.54","366","4617.6","5118.4","4755","4674.3","6709.2","7810.9","6597.9","6311.8"
"M248.97T366","248.97","366","8557.7","9947.9","64790.7","75545.9","10204.5","11343.2","94327.4","100678.4"
"M800.56T371.4","800.56","371.4","5521.9","4913.1","4812.2","4426","5523.3","5697.6","5311","5295.9"
"M395.39T373.8","395.39","373.8","6239.7","7020.3","7387","7948.9","9990.2","12251.6","11331.2","13954.2"
"M248.97T375","248.97","375","62165.9","88824.6","69559.5","8818","103000.2","145322.2","100526.6","17064.4"
"M828.61T375.6","828.61","375.6","893.8","961.9","796.8","723.5","1301.2","830.3","858.3","985.8"
"M790.59T378","790.59","378","706.4","2483.6","2409.8","1988.3","2625.3","2200.1","2388.7","2169.5"
"M675.49T381","675.49","381","4292.9","5320.9","3182.6","3513.1","4583.5","6455.6","5012.6","5647.6"
"M782.53T381.6","782.53","381.6","1891.4","1834.5","1770.7","1924","3949.4","4280.1","3519.2","1735.6"
"M702.77T381.6","702.77","381.6","444.2","377.3",NA,"317.1","421.1","499","351","344.8"
"M738.54T382.2","738.54","382.2","941.3","921","1269","1125.5","1073","624.9","753.3","803"
"M832.55T382.2","832.55","382.2","11395.7","11981.9","11234.5","11270.8","8852.5","9714.5","9248.1","8881.6"
"M281.25T382.2","281.25","382.2","483.8","659.6","890.9","690.5","1229","938.8","589.7","987"
"M800.46T382.2","800.46","382.2","682.6","404.9","615.1","449.3","657","533.7","562.3","480.2"
"M808.55T385.8","808.55","385.8","1884.3","1594","1606.5","1391.7","2280.4","1570.9","1785.9","1674.3"
"M900.51T386.4","900.51","386.4",NA,"487.6","498.9","542.2","885.3",NA,NA,"425.8"
"M952.65T386.4","952.65","386.4","850.7","945.7","784.8","1049.5","1099.6","1134","1153.2","1006.6"
"M248.97T387","248.97","387","59968.4","91576.3","12308.9","83258.9","105658.5","157994.7","105550","117639.8"
"M966T387","966","387","23440.5","22065.7","24519.1","20481.8","35916.2","39854.5","31867.5","27403.9"
"M119.04T387.6","119.04","387.6","21302.8","29028.1","24348.5","27253.4","35186.9","46806.2","32826","3140.3"
"M902.61T389.4","902.61","389.4","4980.9","4736.3","4898.8","4665.3","6663.5","7229.4","6792.5","6508.5"
"M854.63T391.8","854.63","391.8","760.9","837.4","703.7","606.5","714","1108","896.5","829.6"
"M764.56T392.4","764.56","392.4","27930.5","25975.1","26356.2","25892.1","26429.5","25003.6","30803.8","30444.7"
